frhed.exe | 0x401565 | pop ebp ; ret 8
frhed.exe | 0x402241 | pop ebx ; leave ; ret
frhed.exe | 0x40215b | pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c4 | pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x402030 | pop ebx ; ret
frhed.exe | 0x401f6c | pop ecx ; dec eax ; ret
frhed.exe | 0x401c27 | pop ecx ; pop ecx ; ret
frhed.exe | 0x402157 | pop ecx ; pop edi ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c1 | pop ecx ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401a9a | pop ecx ; ret
frhed.exe | 0x401d55 | pop ecx ; xor eax, eax ; ret
frhed.exe | 0x402240 | pop edi ; pop ebx ; leave ; ret
frhed.exe | 0x402158 | pop edi ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x402159 | pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c2 | pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x40202e | pop edi ; pop esi ; pop ebx ; ret
frhed.exe | 0x401f90 | pop edi ; pop esi ; ret
frhed.exe | 0x401fc8 | pop edx ; je 0x401fd3 ; xor eax, eax ; ret
frhed.exe | 0x40215a | pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c3 | pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x40202f | pop esi ; pop ebx ; ret
frhed.exe | 0x40223f | pop esi ; pop edi ; pop ebx ; leave ; ret
frhed.exe | 0x401f91 | pop esi ; ret
frhed.exe | 0x4021d0 | push dword ptr [ebp + ecx - 0x7b] ; ret
frhed.exe | 0x40215f | push ecx ; ret
frhed.exe | 0x401f65 | push edi ; fcomp dword ptr [ebx] ; sal bh, 0xd8 ; pop ecx ; dec eax ; ret
frhed.exe | 0x40202d | rcr byte ptr [edi + 0x5e], 0x5b ; ret
frhed.exe | 0x4019fb | ret
frhed.exe | 0x4014cc | ret 0x10
frhed.exe | 0x4017f5 | ret 0x5202
frhed.exe | 0x402023 | ret 0x8301
frhed.exe | 0x401711 | ret 0x8b50
frhed.exe | 0x4020d9 | ret 0xc28b
frhed.exe | 0x4016ec | ret 0xe33d
frhed.exe | 0x401ea1 | ret 4
frhed.exe | 0x401566 | ret 8
frhed.exe | 0x4020d6 | ror byte ptr [edi], 0x94 ; ret 0xc28b
frhed.exe | 0x401f69 | sal bh, 0xd8 ; pop ecx ; dec eax ; ret
frhed.exe | 0x402029 | salc ; jb 0x40201a ; xor eax, eax ; pop edi ; pop esi ; pop ebx ; ret
frhed.exe | 0x401f68 | sbb eax, eax ; neg eax ; pop ecx ; dec eax ; ret
frhed.exe | 0x401fe3 | sete cl ; mov eax, ecx ; ret
frhed.exe | 0x4020d7 | sete dl ; mov eax, edx ; ret
frhed.exe | 0x401c23 | xchg eax, ecx ; add eax, dword ptr [eax] ; add byte ptr [ecx + 0x59], bl ; ret
frhed.exe | 0x4020d8 | xchg eax, esp ; ret 0xc28b
frhed.exe | 0x401e62 | xor byte ptr [eax], al ; leave ; ret
frhed.exe | 0x401d52 | xor byte ptr [eax], al ; pop ecx ; xor eax, eax ; ret
frhed.exe | 0x401eac | xor byte ptr [eax], al ; xor eax, eax ; ret
frhed.exe | 0x401978 | xor dword ptr [eax], eax ; mov esp, ebp ; pop ebp ; ret 0x10
frhed.exe | 0x40223a | xor eax, 0x404004 ; pop esi ; pop edi ; pop ebx ; leave ; ret
frhed.exe | 0x401c62 | xor eax, eax ; inc eax ; ret
frhed.exe | 0x4019f8 | xor eax, eax ; pop ebp ; ret
frhed.exe | 0x40202c | xor eax, eax ; pop edi ; pop esi ; pop ebx ; ret
frhed.exe | 0x401d56 | xor eax, eax ; ret
frhed.exe | 0x401e9f | xor eax, eax ; ret 4
heksedit.dll | 0x1000bf3a | aaa ; add al, byte ptr [eax] ; add esp, 4 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1002bfb5 | aaa ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x100160a5 | aaa ; outsd dx, dword ptr [esi] ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1000b193 | aaa ; pop ebp ; ret
heksedit.dll | 0x1001cea7 | aad 0x59 ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1000d1e7 | aad 0x8b ; in eax, 0x5d ; ret
heksedit.dll | 0x100229fe | aad 0xcc ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1000e280 | aam 0x81 ; ret 0x84
heksedit.dll | 0x1001a593 | aam 0x83 ; ret 0x5201
heksedit.dll | 0x1000e3ea | aam 0x83 ; ret 0x8964
heksedit.dll | 0x1001a590 | aam 0x8b ; push ebp ; aam 0x83 ; ret 0x5201
heksedit.dll | 0x1000e6fc | aam 0xf ; mov dh, 0x51 ; jl 0x1000e743 ; ret 0x4e74
heksedit.dll | 0x10006ae2 | aam ; add byte ptr [eax], al ; call 0x10002cf6
heksedit.dll | 0x10011cd7 | adc al, 0x13 ; retf 0xe883
heksedit.dll | 0x1002465c | adc al, 0x83 ; ret 0x5201
heksedit.dll | 0x1001e7b3 | adc al, 0x8b ; in eax, 0x5d ; ret 4
heksedit.dll | 0x1001df83 | adc al, 0x8b ; inc ebp ; cld ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1002085a | adc al, 0x8b ; inc ebp ; fcom dword ptr [eax - 0x18] ; retf 0xee
heksedit.dll | 0x1001f0f1 | adc al, 0xb8 ; add dword ptr [eax], eax ; add byte ptr [eax], al ; pop ebp ; ret 8
heksedit.dll | 0x100012bf | adc al, 0xe4 ; add al, byte ptr [eax] ; mov esp, ebp ; pop ebp ; ret 0xc
heksedit.dll | 0x1000bd66 | adc al, 1 ; movzx eax, byte ptr [ebp + 8] ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1001d389 | adc al, 3 ; adc byte ptr [ebx - 0x17adf7ab], cl ; retf
heksedit.dll | 0x10008e55 | adc al, byte ptr [ebx] ; adc byte ptr [ebx - 0x1a74f33c], al ; pop ebp ; ret 4
heksedit.dll | 0x1000beb9 | adc al, byte ptr [ebx] ; adc byte ptr [ebx - 0x1a74f33c], al ; pop ebp ; ret 8
heksedit.dll | 0x1000be35 | adc al, byte ptr [ebx] ; adc byte ptr [ebx - 0x1a74f73c], al ; pop ebp ; ret 4
heksedit.dll | 0x1000be11 | adc al, byte ptr [ebx] ; adc byte ptr [ebx - 0x1a74fb3c], al ; pop ebp ; ret
heksedit.dll | 0x1002286b | adc al, ch ; mov edi, 0x5dfffff6 ; ret 4
heksedit.dll | 0x1000d333 | adc al, ch ; out 0x4d, eax ; add dword ptr [eax], eax ; pop ebp ; ret 8
heksedit.dll | 0x1002f9c0 | adc al, ch ; ret
heksedit.dll | 0x10030d77 | adc bh, bh ; adc eax, 0x100311ac ; pop ebp ; ret
heksedit.dll | 0x10026baa | adc bh, byte ptr [edi + 0x458afffd] ; ret
heksedit.dll | 0x1000d1e5 | adc bl, ch ; aad 0x8b ; in eax, 0x5d ; ret
heksedit.dll | 0x10002c20 | adc byte ptr [eax + 0x5de58b01], dh ; ret 8
heksedit.dll | 0x100261a0 | adc byte ptr [eax + 1], bh ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10008bca | adc byte ptr [eax + 1], bh ; mov esp, ebp ; pop ebp ; ret 0xc
heksedit.dll | 0x10006fcb | adc byte ptr [eax + 1], bh ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x100282c3 | adc byte ptr [eax + eax], dh ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x10022583 | adc byte ptr [eax - 0x1a74a1ff], dh ; pop ebp ; ret 8
heksedit.dll | 0x1000fd83 | adc byte ptr [eax - 0xc], bl ; add byte ptr [eax], dl ; retf 0xf5
heksedit.dll | 0x1002fdcb | adc byte ptr [eax - 1], dl ; adc eax, 0x10031178 ; leave ; ret
heksedit.dll | 0x1001f1bc | adc byte ptr [eax], al ; add byte ptr [eax], al ; add esp, 8 ; pop ebp ; ret
heksedit.dll | 0x1002f6dc | adc byte ptr [ebp + 2], dh ; ret
heksedit.dll | 0x1002f9ac | adc byte ptr [ebp + 5], dh ; xor eax, eax ; inc eax ; pop esi ; ret
heksedit.dll | 0x10030cc4 | adc byte ptr [ebx + 0x100391d8], ah ; pop ebp ; ret
heksedit.dll | 0x10030ce4 | adc byte ptr [ebx + 0x100391dc], ah ; pop ebp ; ret
heksedit.dll | 0x10030ca7 | adc byte ptr [ebx + 0x100391e4], ah ; pop ebp ; ret
heksedit.dll | 0x10030c84 | adc byte ptr [ebx + 0x100391e8], ah ; pop ebp ; ret
heksedit.dll | 0x1001d680 | adc byte ptr [ebx + 0x1ba8e8c8], cl ; add dword ptr [eax], eax ; pop ebp ; ret 0x10
heksedit.dll | 0x10017d9b | adc byte ptr [ebx + 0x1ce8fc4d], cl ; ret 0xffff
heksedit.dll | 0x1001dbd0 | adc byte ptr [ebx + 0x5428e8c8], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d950 | adc byte ptr [ebx + 0x5dd8e8c8], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d540 | adc byte ptr [ebx + 0x6978e8c8], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d360 | adc byte ptr [ebx + 0x7a8e8c8], cl ; add dword ptr [eax], eax ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d38b | adc byte ptr [ebx - 0x17adf7ab], cl ; retf
heksedit.dll | 0x1000bd2f | adc byte ptr [ebx - 0x1a7403bb], cl ; pop ebp ; ret
heksedit.dll | 0x10001cf3 | adc byte ptr [ebx - 0x1a7403bb], cl ; pop ebp ; ret 4
heksedit.dll | 0x100017b2 | adc byte ptr [ebx - 0x1a7407bb], cl ; pop ebp ; ret 0xc
heksedit.dll | 0x10008e57 | adc byte ptr [ebx - 0x1a74f33c], al ; pop ebp ; ret 4
heksedit.dll | 0x1000bdc1 | adc byte ptr [ebx - 0x1a74f33c], al ; pop ebp ; ret 8
heksedit.dll | 0x1000be37 | adc byte ptr [ebx - 0x1a74f73c], al ; pop ebp ; ret 4
heksedit.dll | 0x100250c4 | adc byte ptr [ebx - 0x1a74f7bb], cl ; pop ebp ; ret 4
heksedit.dll | 0x1000be13 | adc byte ptr [ebx - 0x1a74fb3c], al ; pop ebp ; ret
heksedit.dll | 0x1001d310 | adc byte ptr [ebx - 0x37271738], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d860 | adc byte ptr [ebx - 0x5c471738], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001dc20 | adc byte ptr [ebx - 0x64171738], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001db30 | adc byte ptr [ebx - 0x6b771738], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001d900 | adc byte ptr [ebx - 0x72171738], cl ; add byte ptr [eax], al ; pop ebp ; ret 0x10
heksedit.dll | 0x1001fe1d | adc byte ptr [ebx], bh ; retf 0xc75
heksedit.dll | 0x1000f011 | adc byte ptr [ebx], cl ; ret 0xd
heksedit.dll | 0x1002fb8f | adc byte ptr [ebx], dh ; rol byte ptr [eax + 0x5f], 0x5e ; pop ebx ; pop ebp ; ret 0xc
heksedit.dll | 0x1000bbb5 | adc byte ptr [ebx], dh ; rol byte ptr [ebx - 0x6bf0f908], cl ; ret 0xc28a
heksedit.dll | 0x1002e7dd | adc byte ptr [ebx], dh ; sar byte ptr [ebx], cl ; ror dword ptr [edi], 0x94 ; ret 0x9589
heksedit.dll | 0x1002bc5a | adc byte ptr [ecx - 0x743fcdff], cl ; in eax, 0x5d ; ret 0x10
heksedit.dll | 0x1001803f | adc byte ptr [ecx - 0x75], dl ; push ebp ; test al, 0x81 ; ret 0xb1c
heksedit.dll | 0x1001b5d6 | adc byte ptr [edi], cl ; mov dh, 0x4d ; ret
heksedit.dll | 0x1000fd7f | adc byte ptr [esi + 0x581000f3], cl ; hlt ; add byte ptr [eax], dl ; retf 0xf5
heksedit.dll | 0x10030162 | adc byte ptr [esi + 0x5f], bl ; pop ebx ; leave ; ret
heksedit.dll | 0x10030c5d | adc byte ptr [esi - 0x5d], ah ; in al, dx ; xchg eax, ecx ; add edx, dword ptr [eax] ; pop ebp ; ret
heksedit.dll | 0x10030c3d | adc byte ptr [esi - 0x5d], ah ; loopne 0x10030bdb ; add edx, dword ptr [eax] ; pop ebp ; ret
heksedit.dll | 0x10010de9 | adc byte ptr [esi - 0x75], bl ; in eax, 0x5d ; ret
heksedit.dll | 0x100135b7 | adc byte ptr [esi - 0x75], bl ; in eax, 0x5d ; ret 0x10
heksedit.dll | 0x1001122d | adc byte ptr [esi - 0x75], bl ; in eax, 0x5d ; ret 4
heksedit.dll | 0x1000782a | adc cl, ch ; retf
heksedit.dll | 0x1002fdd2 | adc cl, cl ; ret
heksedit.dll | 0x1001c9c2 | adc dword ptr [0xe58b0001], ebp ; pop ebp ; ret 0xc
heksedit.dll | 0x1002312d | adc dword ptr [eax + 0x5de58b01], esi ; ret
heksedit.dll | 0x1002726b | adc dword ptr [eax], eax ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10030cc2 | adc dword ptr [ebx], eax ; adc byte ptr [ebx + 0x100391d8], ah ; pop ebp ; ret
heksedit.dll | 0x10030ce2 | adc dword ptr [ebx], eax ; adc byte ptr [ebx + 0x100391dc], ah ; pop ebp ; ret
heksedit.dll | 0x10030ca5 | adc dword ptr [ebx], eax ; adc byte ptr [ebx + 0x100391e4], ah ; pop ebp ; ret
heksedit.dll | 0x10030c82 | adc dword ptr [ebx], eax ; adc byte ptr [ebx + 0x100391e8], ah ; pop ebp ; ret
heksedit.dll | 0x10001cf1 | adc dword ptr [ebx], eax ; adc byte ptr [ebx - 0x1a7403bb], cl ; pop ebp ; ret 4
heksedit.dll | 0x100017b0 | adc dword ptr [ebx], eax ; adc byte ptr [ebx - 0x1a7407bb], cl ; pop ebp ; ret 0xc
heksedit.dll | 0x1002fdd0 | adc dword ptr [ebx], eax ; adc cl, cl ; ret
heksedit.dll | 0x1001ec47 | adc dword ptr [ebx], edi ; ret 0x1c75
heksedit.dll | 0x10018c88 | adc dword ptr [ebx], edi ; ret 0xb74
heksedit.dll | 0x100119aa | adc dword ptr [ebx], edi ; ret 0xc74
heksedit.dll | 0x100112af | adc eax, 0x10031090 ; mov esp, ebp ; pop ebp ; ret 0x14
heksedit.dll | 0x10024c46 | adc eax, 0x100310d8 ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x10024bc8 | adc eax, 0x100310d8 ; mov esp, ebp ; pop ebp ; ret 8
heksedit.dll | 0x10024e00 | adc eax, 0x100310e4 ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x100222f0 | adc eax, 0x10031124 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1000555c | adc eax, 0x1003113c ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1001e460 | adc eax, 0x10031158 ; mov esp, ebp ; pop ebp ; ret 8
heksedit.dll | 0x1001dfa8 | adc eax, 0x1003115c ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1002fdce | adc eax, 0x10031178 ; leave ; ret
heksedit.dll | 0x10022230 | adc eax, 0x1003119c ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10022191 | adc eax, 0x1003119c ; pop ebp ; ret
heksedit.dll | 0x1002724b | adc eax, 0x100311ac ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10030d79 | adc eax, 0x100311ac ; pop ebp ; ret
heksedit.dll | 0x1002bb71 | adc eax, 0x100311f4 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1002227c | adc eax, 0x10031234 ; add esp, 8 ; pop ebp ; ret
heksedit.dll | 0x10002a6c | adc eax, 0x100312f8 ; add esp, 8 ; pop ebp ; ret
heksedit.dll | 0x1002a33e | adc eax, 0x10031374 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1000d308 | adc eax, 0x10031374 ; pop ebp ; ret 8
heksedit.dll | 0x10003c6f | adc eax, 0x100313fc ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10016f91 | adc eax, 0x100313fc ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1001cb71 | adc eax, 0x10031404 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1000d9eb | adc eax, 0x10031404 ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x10001b1e | adc eax, 0x10031410 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x1000c0fd | adc eax, 0x10031454 ; pop ebp ; ret
heksedit.dll | 0x1001da3c | adc eax, 0x1003145c ; mov ecx, eax ; call 0x10009ce9
heksedit.dll | 0x100084aa | adc eax, 0x10031484 ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x10008547 | adc eax, 0x1003148c ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x100228be | adc eax, 0x100314c4 ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x10018a23 | adc eax, 0x100314ec ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x10011229 | adc eax, 0x10031550 ; pop esi ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x10010f22 | adc eax, 0x10031554 ; mov esp, ebp ; pop ebp ; ret 0xc
heksedit.dll | 0x10010de5 | adc eax, 0x10031558 ; pop esi ; mov esp, ebp ; pop ebp ; ret
heksedit.dll | 0x100135b3 | adc eax, 0x10031584 ; pop esi ; mov esp, ebp ; pop ebp ; ret 0x10
heksedit.dll | 0x1000ed3a | adc eax, 0x10031594 ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x10017d78 | adc eax, 0x100315ac ; mov esp, ebp ; pop ebp ; ret 4
heksedit.dll | 0x1000cfbc | adc eax, 0x100315b0 ; pop ebp ; ret 8
heksedit.dll | 0x1000c129 | adc eax, 0x100315b4 ; pop ebp ; ret
